[load] 6943 posts
  [gpt] [3800/6943]  rate=0.71/s  eta=4444s
  [gpt] [3825/6943]  rate=0.71/s  eta=4409s
  [gpt] [3850/6943]  rate=0.71/s  eta=4370s
  [gpt] [3875/6943]  rate=0.71/s  eta=4329s
  [gpt] [3900/6943]  rate=0.71/s  eta=4291s
  [gpt] [3925/6943]  rate=0.71/s  eta=4252s
  [gpt] [3950/6943]  rate=0.71/s  eta=4213s
  [gpt] [3975/6943]  rate=0.71/s  eta=4174s
  [gpt] [4000/6943]  rate=0.71/s  eta=4136s
  [gpt] [4025/6943]  rate=0.71/s  eta=4105s
  [gpt] [4050/6943]  rate=0.71/s  eta=4070s
  [gpt] [4075/6943]  rate=0.71/s  eta=4033s
  [gpt] [4100/6943]  rate=0.71/s  eta=3999s
  [gpt] [4125/6943]  rate=0.71/s  eta=3968s
  [gpt] [4150/6943]  rate=0.71/s  eta=3935s
  [gpt] [4175/6943]  rate=0.71/s  eta=3898s
  [gpt] [4200/6943]  rate=0.71/s  eta=3863s
  [gpt] [4225/6943]  rate=0.71/s  eta=3826s
  [gpt] [4250/6943]  rate=0.71/s  eta=3791s
  [gpt] [4275/6943]  rate=0.71/s  eta=3752s
  [gpt] [4300/6943]  rate=0.71/s  eta=3713s
  [gpt] [4325/6943]  rate=0.71/s  eta=3675s
  [gpt] [4350/6943]  rate=0.71/s  eta=3637s
  [gpt] [4375/6943]  rate=0.71/s  eta=3603s
  [gpt] [4400/6943]  rate=0.71/s  eta=3564s
  [gpt] [4425/6943]  rate=0.71/s  eta=3523s
  [gpt] [4450/6943]  rate=0.72/s  eta=3486s
  [gpt] [4475/6943]  rate=0.72/s  eta=3449s
  [gpt] [4500/6943]  rate=0.72/s  eta=3410s
  [gpt] [4525/6943]  rate=0.72/s  eta=3372s
  [gpt] [4550/6943]  rate=0.72/s  eta=3331s
  [gpt] [4575/6943]  rate=0.72/s  eta=3292s
  [gpt] [4600/6943]  rate=0.72/s  eta=3253s
  [gpt] [4625/6943]  rate=0.72/s  eta=3213s
  [gpt] [4650/6943]  rate=0.72/s  eta=3175s
  [gpt] [4675/6943]  rate=0.72/s  eta=3137s
  [gpt] [4700/6943]  rate=0.72/s  eta=3100s
  [gpt] [4725/6943]  rate=0.72/s  eta=3063s
  [gpt] [4750/6943]  rate=0.72/s  eta=3025s
  [gpt] [4775/6943]  rate=0.73/s  eta=2990s
  [gpt] [4800/6943]  rate=0.73/s  eta=2953s
  [gpt] [4825/6943]  rate=0.73/s  eta=2916s
  [gpt] [4850/6943]  rate=0.73/s  eta=2881s
  [gpt] [4875/6943]  rate=0.73/s  eta=2844s
  [gpt] [4900/6943]  rate=0.73/s  eta=2809s
  [gpt] [4925/6943]  rate=0.73/s  eta=2772s
  [gpt] [4950/6943]  rate=0.73/s  eta=2737s
  [gpt] [4975/6943]  rate=0.73/s  eta=2700s
  [gpt] [5000/6943]  rate=0.73/s  eta=2666s
  [gpt] [5025/6943]  rate=0.73/s  eta=2629s
  [gpt] [5050/6943]  rate=0.73/s  eta=2594s
  [gpt] [5075/6943]  rate=0.73/s  eta=2559s
  [gpt] [5100/6943]  rate=0.73/s  eta=2523s
  [gpt] [5125/6943]  rate=0.73/s  eta=2487s
  [gpt] [5150/6943]  rate=0.73/s  eta=2454s
  [gpt] [5175/6943]  rate=0.73/s  eta=2418s
  [gpt] [5200/6943]  rate=0.73/s  eta=2383s
  [gpt] [5225/6943]  rate=0.73/s  eta=2349s
  [gpt] [5250/6943]  rate=0.73/s  eta=2315s
  [gpt] [5275/6943]  rate=0.73/s  eta=2279s
  [gpt] [5300/6943]  rate=0.73/s  eta=2245s
  [gpt] [5325/6943]  rate=0.73/s  eta=2209s
  [gpt] [5350/6943]  rate=0.73/s  eta=2173s
  [gpt] [5375/6943]  rate=0.73/s  eta=2138s
  [gpt] [5400/6943]  rate=0.73/s  eta=2102s
  [gpt] [5425/6943]  rate=0.73/s  eta=2065s
  [gpt] [5450/6943]  rate=0.74/s  eta=2030s
  [gpt] [5475/6943]  rate=0.74/s  eta=1995s
  [gpt] [5500/6943]  rate=0.74/s  eta=1959s
  [gpt] [5525/6943]  rate=0.74/s  eta=1924s
  [gpt] [5550/6943]  rate=0.74/s  eta=1888s
  [gpt] [5575/6943]  rate=0.74/s  eta=1852s
  [gpt] [5600/6943]  rate=0.74/s  eta=1817s
  [gpt] [5625/6943]  rate=0.74/s  eta=1782s
  [gpt] [5650/6943]  rate=0.74/s  eta=1746s
  [gpt] [5675/6943]  rate=0.74/s  eta=1711s
  [gpt] [5700/6943]  rate=0.74/s  eta=1677s
  [gpt] [5725/6943]  rate=0.74/s  eta=1643s
  [gpt] [5750/6943]  rate=0.74/s  eta=1608s
  [gpt] [5775/6943]  rate=0.74/s  eta=1573s
  [gpt] [5800/6943]  rate=0.74/s  eta=1539s
  [gpt] [5825/6943]  rate=0.74/s  eta=1504s
  [gpt] [5850/6943]  rate=0.74/s  eta=1471s
  [gpt] [5875/6943]  rate=0.74/s  eta=1436s
  [gpt] [5900/6943]  rate=0.74/s  eta=1401s
  [gpt] [5925/6943]  rate=0.75/s  eta=1366s
  [gpt] [5950/6943]  rate=0.75/s  eta=1331s
  [gpt] [5975/6943]  rate=0.75/s  eta=1296s
  [gpt] [6000/6943]  rate=0.75/s  eta=1263s
  [gpt] [6025/6943]  rate=0.75/s  eta=1229s
  [gpt] [6050/6943]  rate=0.75/s  eta=1197s
  [gpt] [6075/6943]  rate=0.75/s  eta=1162s
  [gpt] [6100/6943]  rate=0.75/s  eta=1128s
  [gpt] [6125/6943]  rate=0.75/s  eta=1095s
  [gpt] [6150/6943]  rate=0.75/s  eta=1061s
  [gpt] [6175/6943]  rate=0.75/s  eta=1027s
  [gpt] [6200/6943]  rate=0.75/s  eta=993s
  [gpt] [6225/6943]  rate=0.75/s  eta=959s
  [gpt] [6250/6943]  rate=0.75/s  eta=925s
  [gpt] [6275/6943]  rate=0.75/s  eta=891s
  [gpt] [6300/6943]  rate=0.75/s  eta=857s
  [gpt] [6325/6943]  rate=0.75/s  eta=823s
  [gpt] [6350/6943]  rate=0.75/s  eta=790s
  [gpt] [6375/6943]  rate=0.75/s  eta=757s
  [gpt] [6400/6943]  rate=0.75/s  eta=723s
  [gpt] [6425/6943]  rate=0.75/s  eta=690s
  [gpt] [6450/6943]  rate=0.75/s  eta=656s
  [gpt] [6475/6943]  rate=0.75/s  eta=623s
  [gpt] [6500/6943]  rate=0.75/s  eta=589s
  [gpt] [6525/6943]  rate=0.75/s  eta=556s
  [gpt] [6550/6943]  rate=0.75/s  eta=522s
  [gpt] [6575/6943]  rate=0.75/s  eta=489s
  [gpt] [6600/6943]  rate=0.75/s  eta=456s
  [gpt] [6625/6943]  rate=0.75/s  eta=422s
  [gpt] [6650/6943]  rate=0.75/s  eta=389s
  [gpt] [6675/6943]  rate=0.75/s  eta=356s
  [gpt] [6700/6943]  rate=0.75/s  eta=322s
  [gpt] [6725/6943]  rate=0.75/s  eta=289s
  [gpt] [6750/6943]  rate=0.75/s  eta=256s
  [gpt] [6775/6943]  rate=0.76/s  eta=222s
  [gpt] [6800/6943]  rate=0.75/s  eta=189s
  [gpt] [6825/6943]  rate=0.76/s  eta=156s
  [gpt] [6850/6943]  rate=0.76/s  eta=123s
  [gpt] [6875/6943]  rate=0.76/s  eta=90s
  [gpt] [6900/6943]  rate=0.76/s  eta=57s
  [gpt] [6925/6943]  rate=0.76/s  eta=24s
  [gpt] [6943/6943]  rate=0.76/s  eta=0s
[saved] /Users/leahli/Documents/26Spring-TextasData/final_proj/data/processed/labeled_v2_gpt.parquet  total_time=9169.5s
